"Name","Value","Comment"
"C_AddFolder_SyncFolder.Content","Sync this folder and automatically add new books","Sync this folder and automatically add new books"
"C_Backup_AStats.Content","App statistics","App statistics"
"C_Backup_BFav.Content","Book favorite list","Book favorite list"
"C_Backup_BFiles.Content","Book files","Book files"
"C_Backup_BMeta.Content","Book metadata","Book metadata"
"C_Backup_Bookmarks.Content","Bookmarks","Bookmarks"
"C_Backup_Config.Description","Select the configuration for backup or restore operation","Select the configuration for backup or restore operation"
"C_Backup_Config.Title","Choose configuration","Choose configuration"
"C_Backup_NandH.Content","Notes & highlights","Notes & highlights"
"C_Backup_Operation.Description","Select the operation you want to perform","Select the operation you want to perform"
"C_Backup_Operation.Title","Choose operation","Choose operation"
"C_Backup_Storage.Description","Select the source or target storage for the operation","Select the source or target storage for the operation"
"C_Backup_Storage.Title","Choose storage","Choose storage"
"C_Books.ToolTipService.ToolTip","Books","Books"
"C_ChapterList.ToolTipService.ToolTip","Chapter list","Chapter list"
"C_CollectionType.ToolTipService.ToolTip","Collection Type","Collection Type"
"C_General_Advt.Description","Preference for type of advertisements","Preference for type of advertisements"
"C_General_Advt.Title","Advt. preference","Advt. preference"
"C_General_BookTitle.Description","Display title for all books in the library view","Display title for all books in the library view"
"C_General_BookTitle.Title","Show book titles","Show book titles"
"C_General_Lang.Description","Buttons, menus and other controls will show in this language.
Select 'System' to use device's selected language.
This setting will be applied on the next start of the app.","Buttons, menus and other controls will show in this language.
Select 'System' to use device's selected language.
This setting will be applied on the next start of the app."
"C_General_Lang.Title","Display language","Display language"
"C_General_Tutorial.Description","Show all the tutorials again","Show all the tutorials again"
"C_General_Tutorial.Title","Reset tutorials","Reset tutorials"
"C_Personal_ColorThemes.Title","Color themes","Color themes"
"C_Personal_TransBanckground.Title","Transparent background","Transparent background"
"C_Personal_TransBanckSlider.Title","Background transparency","Background transparency"
"C_Prem1.BillDetails","Billed quarterly","Billed quarterly"
"C_Prem1.DurationString"," months"," months"
"C_Prem2.BillDetails","Billed annually","Billed annually"
"C_Prem2.DurationString"," months"," months"
"C_Prem3.BillDetails","One time purchase","One time purchase"
"C_Prem3.DurationString","Lifetime","Lifetime"
"C_Reader_AutoLayout.Description","In 2-column layout when device rotates to portrait mode, reader will auto switch to 1-column layout, and vice versa","In 2-column layout when device rotates to portrait mode, reader will auto switch to 1-column layout, and vice versa"
"C_Reader_AutoLayout.Title","Auto switch to 1 column layout","Auto switch to 1 column layout"
"C_Reader_AutoScroll.Description","ReadAloud auto-scroll","ReadAloud auto-scroll"
"C_Reader_AutoScroll.Title","Auto scrolls the page to follow the sentence being read in the ReadAloud mode","Auto scrolls the page to follow the sentence being read in the ReadAloud mode"
"C_Reader_BookFont.Description","Reader uses the original fonts packaged with the book","Reader uses the original fonts packaged with the book"
"C_Reader_BookFont.Title","Use book's fonts","Use book's fonts"
"C_Reader_DictLang.Description","Language of the in-reader dictionary","Language of the in-reader dictionary"
"C_Reader_DictLang.Title","Dictionary language","Dictionary language"
"C_Reader_EnhRender.Description","Improves the format/layout in which books are rendered for reading","Improves the format/layout in which books are rendered for reading"
"C_Reader_EnhRender.Title","Enhanced rendering","Enhanced rendering"
"C_Reader_SearchEngine.Description","Search engine to use for web search","Search engine to use for web search"
"C_Reader_SearchEngine.Title","Search engine","Search engine"
"C_Reader_StdMrgn.Description","Overrides any margin specified in the book to provide consistent layout in the reader","Overrides any margin specified in the book to provide consistent layout in the reader"
"C_Reader_StdMrgn.Title","Standardize margins","Standardize margins"
